Positive_Words,Negative_Words
abund,abandon
acclaim,abdic
accomplish,aberr
achiev,abet
adequ,abnorm
advanc,abolish
advantag,abrog
allianc,abrupt
assur,abruptli
attain,absenc
attract,absente
beauti,abus
benefici,accid
benefit,accident
better,accus
bolster,acquiesc
boom,acquit
boost,acquitt
breakthrough,adulter
brilliant,advers
charit,adversari
collabor,aftermath
compliment,aggrav
complimentari,alert
conclus,alien
conduc,alleg
confid,allegedli
construct,annoy
courteou,annul
creativ,anomal
delight,anomali
depend,anticompetit
despit,antitrust
destin,argu
dilig,argument
distinct,arrear
dream,arrearag
easi,arrest
easier,artifici
easili,assault
effect,assert
effici,attrit
empow,avers
enabl,backdat
encourag,bad
enhanc,bail
enjoy,bailout
enthusiasm,balk
enthusiast,ban
excel,bankrupt
excit,bankruptci
exclus,bar
exemplari,bottleneck
fantast,boycot
favorit,boycott
friendli,breach
great,break
greater,breakag
greatest,breakdown
greatli,bribe
happi,briberi
happiest,broken
happili,burdensom
highest,calam
honor,calamit
ideal,cancel
impress,careless
improv,carelessli
incred,catastroph
influenti,caution
inform,cautionari
ingenu,ceas
innov,censur
insight,challeng
inspir,chargeoff
integr,circumv
invent,circumvent
inventor,claim
lead,clawback
leadership,closeout
loyal,closur
lucr,coerc
meritori,coercion
opportun,coerciv
optimist,collaps
outperform,collis
perfect,collud
perfectli,collus
pleas,complain
pleasantli,complaint
pleasur,complic
plenti,compuls
popular,conceal
posit,conced
preemin,concern
premier,concili
prestig,condemn
prestigi,confess
proactiv,confin
profici,confisc
profit,conflict
progress,confront
prosper,confus
rebound,confusingli
recept,conspir
regain,conspiraci
resolv,conspiratori
revolution,contempt
reward,contend
satisfact,content
satisfactori,contenti
satisfactorili,contest
satisfi,contract
smooth,contradict
smoothli,contradictori
solv,contrari
spectacular,controversi
spectacularli,convict
stabil,correct
stabl,corrupt
strength,corruptli
strengthen,costli
stronger,counterclaim
strongest,counterfeit
succe,countermeasur
succeed,crime
success,crimin
superior,crise
surpass,crisi
transpar,critic
tremend,crucial
unmatch,culpabl
unparallel,cumbersom
unsurpass,curtail
upturn,cut
valuabl,cutback
versatil,cyberattack
vibranc,cyberbulli
vibrant,cybercrim
win,cybercrimin
,damag
,dampen
,danger
,deadlock
,deadweight
,debar
,deceas
,deceit
,deceiv
,decept
,declin
,defac
,defam
,defamatori
,default
,defeat
,defect
,defend
,defens
,defer
,defici
,deficit
,defraud
,defunct
,degrad
,delay
,deleteri
,deliber
,delinqu
,delist
,demis
,demolish
,demolit
,demot
,denial
,denigr
,deplet
,deprec
,depress
,depriv
,derelict
,derogatori
,destabil
,destroy
,destruct
,detain
,detent
,deter
,deterior
,deterr
,detract
,detriment
,devalu
,devast
,deviat
,devolv
,difficult
,difficulti
,difficultli
,diminish
,diminut
,disadvantag
,disaffili
,disagr
,disagre
,disallow
,disappear
,disappoint
,disappointingli
,disapprov
,disassoci
,disast
,disastr
,disavow
,disciplinari
,disclaim
,disclos
,discontinu
,discourag
,discredit
,discrep
,disfavor
,disgorg
,disgrac
,dishonest
,dishonesti
,dishonestli
,dishonor
,disincent
,disinterest
,disinterested
,disinterestedli
,disloy
,disloyalti
,dismal
,dismiss
,disorderli
,dispar
,disparag
,disparagingli
,displac
,dispos
,dispossess
,disproport
,disproportion
,disput
,disqualif
,disqualifi
,disregard
,disreput
,disrupt
,dissatisfact
,dissatisfi
,dissent
,dissid
,dissolut
,distort
,distract
,distress
,disturb
,divers
,divert
,divest
,divestitur
,divorc
,divulg
,doubt
,downgrad
,downsiz
,downtim
,downturn
,downward
,drag
,drastic
,drawback
,drop
,drought
,duress
,dysfunct
,eas
,egregi
,embargo
,embarrass
,embezzl
,encroach
,encumb
,encumbr
,endang
,endanger
,enjoin
,er
,erod
,eros
,err
,errat
,erron
,error
,escal
,evad
,evas
,evict
,exacerb
,exagger
,excess
,exculp
,exculpatori
,exoner
,exploit
,expos
,expropri
,expuls
,extenu
,fail
,failur
,fallout
,fals
,falsif
,falsifi
,falsiti
,fatal
,fault
,faulti
,feloni
,fictiti
,fire
,flaw
,forbid
,forbidden
,forc
,foreclos
,foreclosur
,forego
,foregon
,forestal
,forfeit
,forfeitur
,forger
,forgeri
,fraud
,fraudul
,frivol
,frustrat
,frustratingli
,fugit
,gratuit
,grievanc
,grossli
,groundless
,guilti
,halt
,hamper
,harass
,hardship
,harsh
,harsher
,harshest
,harshli
,hinder
,hindranc
,hostil
,idl
,ignor
,ill
,illeg
,illicit
,illicitli
,illiquid
,imbal
,immatur
,immor
,impair
,impass
,imped
,impedi
,impend
,imper
,imperfect
,imperil
,impermiss
,implic
,imposs
,impound
,impract
,impractic
,imprison
,improp
,improperli
,improprieti
,imprud
,inabl
,inaccess
,inaccur
,inaccuraci
,inact
,inactiv
,inadequ
,inadequaci
,inadvert
,inadvis
,inappropri
,inattent
,incap
,incapac
,incapacit
,incarcer
,incid
,incompat
,incompet
,incomplet
,inconclus
,inconsist
,inconveni
,incorrect
,incorrectli
,indec
,indefeas
,indict
,ineffect
,ineffici
,inelig
,inequ
,inequit
,inevit
,inexperi
,inexperienc
,inferior
,inflict
,infract
,infring
,inhibit
,inim
,injunct
,injur
,injuri
,inordin
,inquiri
,insecur
,insensit
,insolv
,instabl
,insubordin
,insuffici
,insurrect
,intent
,interf
,interfer
,intermitt
,interrupt
,intimid
,intrus
,invalid
,investig
,involuntari
,involuntarili
,irreconcil
,irrecover
,irregular
,irregularli
,irrepar
,irrevers
,jeopard
,justifi
,kickback
,knowingli
,lack
,lacklust
,lag
,laps
,late
,launder
,layoff
,lie
,limit
,linger
,liquid
,litig
,lockout
,lose
,loss
,lost
,malfeas
,malfunct
,malic
,malici
,malpractic
,manipul
,markdown
,misappl
,misappli
,misappropri
,misbrand
,miscalcul
,mischaracter
,mischief
,misclassif
,misclassifi
,miscommun
,misconduct
,misdat
,misdemeanor
,misdirect
,mishandl
,misinform
,misinterpret
,misjudg
,misl
,mislabel
,mislead
,misleadingli
,mismanag
,mismatch
,misplac
,mispric
,misrepres
,misrepresent
,misstat
,misstep
,mistak
,mistaken
,mistakenli
,mistrial
,misunderstand
,misunderstood
,misus
,monopol
,monopoli
,monopolist
,moratoria
,moratorium
,mothbal
,neg
,neglect
,neglig
,nonattain
,noncompetit
,noncompli
,nonconform
,nondisclosur
,nonfunct
,nonpay
,nonperform
,nonproduc
,nonproduct
,nonrecover
,nonrenew
,nuisanc
,nullif
,nullifi
,object
,objection
,obscen
,obsolesc
,obsolet
,obstacl
,obstruct
,offenc
,offend
,omiss
,omit
,oner
,opportunist
,oppos
,opposit
,outag
,outdat
,outmod
,overag
,overbuild
,overbuilt
,overburden
,overcapac
,overcharg
,overcom
,overdu
,overestim
,overload
,overlook
,overpaid
,overpay
,overproduc
,overproduct
,overrun
,overshadow
,overst
,overstat
,oversuppli
,overtli
,overturn
,overvalu
,panic
,penal
,penalti
,peril
,perjuri
,perpetr
,persist
,pervas
,picket
,plaintiff
,plea
,plead
,pled
,poorli
,pose
,postpon
,precipit
,preclud
,predatori
,prejud
,prejudic
,prejudici
,prematur
,press
,pretrial
,prevent
,problem
,problemat
,prolong
,prone
,prosecut
,protest
,protestor
,protract
,provok
,punish
,punit
,purport
,purportedli
,question
,quit
,racket
,ration
,reassess
,reassign
,recal
,recess
,recessionari
,reckless
,recklessli
,redact
,redefault
,redress
,refus
,reject
,relinquish
,reluct
,renegoti
,renounc
,repar
,repossess
,repudi
,resign
,restat
,restructur
,retali
,retaliatori
,retribut
,revoc
,revok
,ridicul
,riski
,riskier
,riskiest
,sabotag
,sacrif
,sacrific
,sacrifici
,scandal
,scrutin
,scrutini
,secreci
,seiz
,sentenc
,seriou
,serious
,setback
,sharpli
,shock
,shortag
,shortfal
,shrinkag
,shut
,shutdown
,slander
,slippag
,slow
,slowdown
,slower
,slowest
,slowli
,sluggish
,sluggishli
,solvenc
,spam
,spammer
,stagger
,stagnant
,stagnat
,standstil
,stolen
,stop
,stoppag
,stress
,stringent
,subject
,subpoena
,substandard
,suffer
,summon
,summons
,suscept
,suspect
,suspend
,suspens
,suspici
,suspicion
,taint
,tamper
,tens
,termin
,testifi
,threat
,threaten
,tighten
,tortuou
,tortuous
,tragedi
,tragic
,traumat
,troubl
,turbul
,turmoil
,unabl
,unaccept
,unaccount
,unannounc
,unanticip
,unapprov
,unattract
,unauthor
,unavail
,unavoid
,unawar
,uncollect
,uncompetit
,uncomplet
,unconscion
,uncontrol
,uncorrect
,uncov
,undeliv
,undeliver
,undercapit
,undercut
,underestim
,underfund
,underinsur
,undermin
,underpaid
,underpay
,underperform
,underproduc
,underproduct
,underreport
,underst
,understat
,underutil
,undesir
,undetect
,undetermin
,undisclos
,undocu
,undu
,unduli
,uneconom
,unemploy
,uneth
,unexcus
,unexpect
,unexpectedli
,unfair
,unfairli
,unfavor
,unfavour
,unfeas
,unfit
,unforese
,unforeseen
,unforseen
,unfortun
,unfound
,unfriendli
,unfulfil
,unfund
,uninsur
,unintend
,unintent
,unjust
,unjustifi
,unjustli
,unknow
,unknowingli
,unlaw
,unlicens
,unliquid
,unmarket
,unmerchant
,unmeritori
,unnecessari
,unnecessarili
,unneed
,unobtain
,unoccupi
,unpaid
,unperform
,unplan
,unpopular
,unpredict
,unproduct
,unprofit
,unqualifi
,unrealist
,unreason
,unrecept
,unrecov
,unrecover
,unreimburs
,unreli
,unremedi
,unreport
,unresolv
,unrest
,unsaf
,unsal
,unsatisfactori
,unsatisfi
,unsavori
,unschedul
,unsel
,unsold
,unsound
,unstabil
,unstabl
,unsubstanti
,unsuccess
,unsuit
,unsur
,unsuspect
,unsustain
,unten
,untim
,untrust
,untruth
,unus
,unwant
,unwarr
,unwelcom
,unwil
,unwilling
,upset
,urgenc
,urgent
,usuri
,usurp
,vandal
,verdict
,veto
,victim
,viol
,violat
,violenc
,violent
,vitiat
,void
,volatil
,vulner
,warn
,wast
,weak
,weaken
,weaker
,weakest
,weakli
,worri
,wors
,worsen
,worst
,worthless
,writedown
,writeoff
,wrong
,wrongdo
,wrongli
